1. Ano,2. Nome Região (Portugal),3. Filtro 1,4. Filtro 2,5. Filtro 3,6. Escala,7. Símbolo,8. Valor
2002,Portugal,Tiro com Arco,,, pessoas,,232
2002,Portugal,Tiro com Armas de Caça,,, pessoas,,3409
2002,Portugal,Total,,, pessoas,,368684
2002,Portugal,Trampolins e Desp. Acrobáticos,,, pessoas,,2578
2002,Portugal,Triatlo,,, pessoas,,700
2002,Portugal,Vela,,, pessoas,,2671
2002,Portugal,Voleibol,,, pessoas,,15746
2002,Portugal,Voo Livre,,, pessoas,,774
2002,Portugal,Xadrez,,, pessoas,,3859
2003,Portugal,Aeromodelismo,,, pessoas,,908
2003,Portugal,Aeronáutica,,, pessoas,,66
2003,Portugal,Aikido,,, pessoas,,687
2003,Portugal,Andebol,,, pessoas,,27294
2003,Portugal,Arqueiros e Besteiros,,, pessoas,,165
2003,Portugal,Artes Marciais Chinesas,,, pessoas,,384
2003,Portugal,Atividades Subaquáticas,,, pessoas,,2794
2003,Portugal,Atletismo,,, pessoas,,12441
2003,Portugal,Automobilismo,,, pessoas,,3982
2003,Portugal,Badminton,,, pessoas,,931
2003,Portugal,Basebol e Softbol,,, pessoas,-,
2003,Portugal,Basquetebol,,, pessoas,,19364
2003,Portugal,Bilhar,,, pessoas,,1283
